execution_time,instance,method,run,value
0.5010199546813965,f10_l-d_kp_20_879,GA,1,824.0
0.011977195739746094,f10_l-d_kp_20_879,ACO,1,1025.0
0.7210118770599365,f10_l-d_kp_20_879,GA,2,895.0
0.012010335922241211,f10_l-d_kp_20_879,ACO,2,1025.0
0.5799784660339355,f10_l-d_kp_20_879,GA,3,876.0
0.01199960708618164,f10_l-d_kp_20_879,ACO,3,1025.0
1.448007345199585,f10_l-d_kp_20_879,GA,4,780.0
0.03199648857116699,f10_l-d_kp_20_879,ACO,4,1025.0
1.4260048866271973,f10_l-d_kp_20_879,GA,5,728.0
0.011994361877441406,f10_l-d_kp_20_879,ACO,5,1025.0
0.5079960823059082,f10_l-d_kp_20_879,GA,6,894.0
0.010022878646850586,f10_l-d_kp_20_879,ACO,6,1025.0
0.5789797306060791,f10_l-d_kp_20_879,GA,7,863.0
0.012998342514038086,f10_l-d_kp_20_879,ACO,7,1025.0
0.5340011119842529,f10_l-d_kp_20_879,GA,8,880.0
0.014008283615112305,f10_l-d_kp_20_879,ACO,8,1025.0
0.5289981365203857,f10_l-d_kp_20_879,GA,9,768.0
0.012991189956665039,f10_l-d_kp_20_879,ACO,9,1025.0
0.4890098571777344,f10_l-d_kp_20_879,GA,10,886.0
0.012993335723876953,f10_l-d_kp_20_879,ACO,10,1025.0
0.4500091075897217,f1_l-d_kp_10_269,GA,1,294.0
0.002981424331665039,f1_l-d_kp_10_269,ACO,1,295.0
1.2120046615600586,f1_l-d_kp_10_269,GA,2,295.0
0.006996870040893555,f1_l-d_kp_10_269,ACO,2,295.0
0.5520012378692627,f1_l-d_kp_10_269,GA,3,295.0
0.002018451690673828,f1_l-d_kp_10_269,ACO,3,295.0
0.45798730850219727,f1_l-d_kp_10_269,GA,4,295.0
0.002989053726196289,f1_l-d_kp_10_269,ACO,4,295.0
0.4060232639312744,f1_l-d_kp_10_269,GA,5,295.0
0.002001523971557617,f1_l-d_kp_10_269,ACO,5,295.0
0.40497875213623047,f1_l-d_kp_10_269,GA,6,295.0
0.0029969215393066406,f1_l-d_kp_10_269,ACO,6,295.0
0.4310016632080078,f1_l-d_kp_10_269,GA,7,295.0
0.0029993057250976562,f1_l-d_kp_10_269,ACO,7,295.0
0.4340059757232666,f1_l-d_kp_10_269,GA,8,295.0
0.0019981861114501953,f1_l-d_kp_10_269,ACO,8,295.0
0.5149993896484375,f1_l-d_kp_10_269,GA,9,295.0
0.0019986629486083984,f1_l-d_kp_10_269,ACO,9,295.0
0.42201757431030273,f1_l-d_kp_10_269,GA,10,295.0
0.001981973648071289,f1_l-d_kp_10_269,ACO,10,295.0
0.5020170211791992,f2_l-d_kp_20_878,GA,1,876.0
0.010982751846313477,f2_l-d_kp_20_878,ACO,1,1024.0
0.49300169944763184,f2_l-d_kp_20_878,GA,2,955.0
0.012018680572509766,f2_l-d_kp_20_878,ACO,2,1024.0
0.4979743957519531,f2_l-d_kp_20_878,GA,3,850.0
0.01102304458618164,f2_l-d_kp_20_878,ACO,3,1024.0
0.45999956130981445,f2_l-d_kp_20_878,GA,4,762.0
0.011000394821166992,f2_l-d_kp_20_878,ACO,4,1024.0
0.4569830894470215,f2_l-d_kp_20_878,GA,5,811.0
0.011992931365966797,f2_l-d_kp_20_878,ACO,5,1024.0
0.5360116958618164,f2_l-d_kp_20_878,GA,6,803.0
0.014993429183959961,f2_l-d_kp_20_878,ACO,6,1024.0
0.5370187759399414,f2_l-d_kp_20_878,GA,7,897.0
0.01199650764465332,f2_l-d_kp_20_878,ACO,7,1024.0
0.5849833488464355,f2_l-d_kp_20_878,GA,8,909.0
0.012004613876342773,f2_l-d_kp_20_878,ACO,8,1024.0
0.5360159873962402,f2_l-d_kp_20_878,GA,9,891.0
0.010982036590576172,f2_l-d_kp_20_878,ACO,9,1024.0
0.5070018768310547,f2_l-d_kp_20_878,GA,10,892.0
0.013015985488891602,f2_l-d_kp_20_878,ACO,10,1024.0
0.32998228073120117,f3_l-d_kp_4_20,GA,1,35.0
0.0009922981262207031,f3_l-d_kp_4_20,ACO,1,35.0
0.34401917457580566,f3_l-d_kp_4_20,GA,2,35.0
0.0,f3_l-d_kp_4_20,ACO,2,35.0
0.33098888397216797,f3_l-d_kp_4_20,GA,3,35.0
0.001013040542602539,f3_l-d_kp_4_20,ACO,3,35.0
0.32799839973449707,f3_l-d_kp_4_20,GA,4,35.0
