execution_time,instance,method,run,value
0.48800134658813477,f10_l-d_kp_20_879,GA,1,752.0
0.011981487274169922,f10_l-d_kp_20_879,ACO,1,1025.0
0.5320043563842773,f10_l-d_kp_20_879,GA,2,939.0
0.010990381240844727,f10_l-d_kp_20_879,ACO,2,1025.0
0.5420036315917969,f10_l-d_kp_20_879,GA,3,939.0
0.00999903678894043,f10_l-d_kp_20_879,ACO,3,1025.0
0.5609984397888184,f10_l-d_kp_20_879,GA,4,939.0
0.012998819351196289,f10_l-d_kp_20_879,ACO,4,1025.0
0.5240001678466797,f10_l-d_kp_20_879,GA,5,939.0
0.014006853103637695,f10_l-d_kp_20_879,ACO,5,1025.0
0.5399930477142334,f10_l-d_kp_20_879,GA,6,939.0
0.011005878448486328,f10_l-d_kp_20_879,ACO,6,1025.0
0.5530052185058594,f10_l-d_kp_20_879,GA,7,939.0
0.011992454528808594,f10_l-d_kp_20_879,ACO,7,1025.0
0.5430097579956055,f10_l-d_kp_20_879,GA,8,939.0
0.012991666793823242,f10_l-d_kp_20_879,ACO,8,1025.0
0.5410184860229492,f10_l-d_kp_20_879,GA,9,939.0
0.010982036590576172,f10_l-d_kp_20_879,ACO,9,1025.0
0.5440027713775635,f10_l-d_kp_20_879,GA,10,939.0
0.011996269226074219,f10_l-d_kp_20_879,ACO,10,1025.0
0.40001988410949707,f1_l-d_kp_10_269,GA,1,295.0
0.0029823780059814453,f1_l-d_kp_10_269,ACO,1,295.0
0.4319956302642822,f1_l-d_kp_10_269,GA,2,295.0
0.004002571105957031,f1_l-d_kp_10_269,ACO,2,295.0
0.4089987277984619,f1_l-d_kp_10_269,GA,3,295.0
0.003000020980834961,f1_l-d_kp_10_269,ACO,3,295.0
0.46599841117858887,f1_l-d_kp_10_269,GA,4,295.0
0.002001047134399414,f1_l-d_kp_10_269,ACO,4,295.0
0.40399909019470215,f1_l-d_kp_10_269,GA,5,295.0
0.0030069351196289062,f1_l-d_kp_10_269,ACO,5,295.0
0.3979942798614502,f1_l-d_kp_10_269,GA,6,295.0
0.0019991397857666016,f1_l-d_kp_10_269,ACO,6,295.0
0.4130065441131592,f1_l-d_kp_10_269,GA,7,295.0
0.0019991397857666016,f1_l-d_kp_10_269,ACO,7,295.0
0.4009974002838135,f1_l-d_kp_10_269,GA,8,295.0
0.0029973983764648438,f1_l-d_kp_10_269,ACO,8,295.0
0.4930002689361572,f1_l-d_kp_10_269,GA,9,295.0
0.0030014514923095703,f1_l-d_kp_10_269,ACO,9,295.0
0.4049978256225586,f1_l-d_kp_10_269,GA,10,295.0
0.0029997825622558594,f1_l-d_kp_10_269,ACO,10,295.0
0.5780022144317627,f2_l-d_kp_20_878,GA,1,844.0
0.011000394821166992,f2_l-d_kp_20_878,ACO,1,1018.0
0.5410029888153076,f2_l-d_kp_20_878,GA,2,961.0
0.011004209518432617,f2_l-d_kp_20_878,ACO,2,1018.0
0.5389964580535889,f2_l-d_kp_20_878,GA,3,961.0
0.013000011444091797,f2_l-d_kp_20_878,ACO,3,1018.0
0.5529966354370117,f2_l-d_kp_20_878,GA,4,961.0
0.010996580123901367,f2_l-d_kp_20_878,ACO,4,1018.0
0.5680069923400879,f2_l-d_kp_20_878,GA,5,961.0
0.011013984680175781,f2_l-d_kp_20_878,ACO,5,1018.0
0.5289807319641113,f2_l-d_kp_20_878,GA,6,961.0
0.011998653411865234,f2_l-d_kp_20_878,ACO,6,1018.0
0.5430245399475098,f2_l-d_kp_20_878,GA,7,961.0
0.009999275207519531,f2_l-d_kp_20_878,ACO,7,1018.0
0.5419800281524658,f2_l-d_kp_20_878,GA,8,961.0
0.012009859085083008,f2_l-d_kp_20_878,ACO,8,1018.0
0.5429890155792236,f2_l-d_kp_20_878,GA,9,961.0
0.012998580932617188,f2_l-d_kp_20_878,ACO,9,1018.0
0.5460023880004883,f2_l-d_kp_20_878,GA,10,961.0
0.009996414184570312,f2_l-d_kp_20_878,ACO,10,1018.0
0.34900426864624023,f3_l-d_kp_4_20,GA,1,35.0
0.0,f3_l-d_kp_4_20,ACO,1,35.0
0.3349952697753906,f3_l-d_kp_4_20,GA,2,35.0
0.0010004043579101562,f3_l-d_kp_4_20,ACO,2,35.0
0.34600019454956055,f3_l-d_kp_4_20,GA,3,35.0
0.0,f3_l-d_kp_4_20,ACO,3,35.0
0.34999990463256836,f3_l-d_kp_4_20,GA,4,35.0
0.0010001659393310547,f3_l-d_kp_4_20,ACO,4,35.0
0.3380007743835449,f3_l-d_kp_4_20,GA,5,35.0
0.0,f3_l-d_kp_4_20,ACO,5,35.0
0.36499929428100586,f3_l-d_kp_4_20,GA,6,35.0
0.0,f3_l-d_kp_4_20,ACO,6,35.0
0.34800124168395996,f3_l-d_kp_4_20,GA,7,35.0
0.0010004043579101562,f3_l-d_kp_4_20,ACO,7,35.0
0.33801698684692383,f3_l-d_kp_4_20,GA,8,35.0
0.0009999275207519531,f3_l-d_kp_4_20,ACO,8,35.0
0.34199953079223633,f3_l-d_kp_4_20,GA,9,35.0
0.0010008811950683594,f3_l-d_kp_4_20,ACO,9,35.0
0.34197568893432617,f3_l-d_kp_4_20,GA,10,35.0
0.0010008811950683594,f3_l-d_kp_4_20,ACO,10,35.0
0.3250002861022949,f4_l-d_kp_4_11,GA,1,23.0
0.0,f4_l-d_kp_4_11,ACO,1,23.0
0.3379988670349121,f4_l-d_kp_4_11,GA,2,23.0
0.0010013580322265625,f4_l-d_kp_4_11,ACO,2,23.0
0.34401893615722656,f4_l-d_kp_4_11,GA,3,23.0
0.0,f4_l-d_kp_4_11,ACO,3,23.0
0.322995662689209,f4_l-d_kp_4_11,GA,4,23.0
0.000986337661743164,f4_l-d_kp_4_11,ACO,4,23.0
0.34601879119873047,f4_l-d_kp_4_11,GA,5,23.0
0.0010030269622802734,f4_l-d_kp_4_11,ACO,5,23.0
0.3300037384033203,f4_l-d_kp_4_11,GA,6,23.0
0.0009815692901611328,f4_l-d_kp_4_11,ACO,6,23.0
0.32100915908813477,f4_l-d_kp_4_11,GA,7,23.0
0.0009999275207519531,f4_l-d_kp_4_11,ACO,7,23.0
0.3460061550140381,f4_l-d_kp_4_11,GA,8,23.0
0.0,f4_l-d_kp_4_11,ACO,8,23.0
0.34098005294799805,f4_l-d_kp_4_11,GA,9,23.0
0.0010008811950683594,f4_l-d_kp_4_11,ACO,9,23.0
0.33199644088745117,f4_l-d_kp_4_11,GA,10,23.0
0.0,f4_l-d_kp_4_11,ACO,10,23.0
0.5410027503967285,f5_l-d_kp_15_375,GA,1,481.069368
0.003995418548583984,f5_l-d_kp_15_375,ACO,1,481.069368
0.5130062103271484,f5_l-d_kp_15_375,GA,2,466.338083
0.004992961883544922,f5_l-d_kp_15_375,ACO,2,481.069368
0.5420241355895996,f5_l-d_kp_15_375,GA,3,466.338083
0.004001617431640625,f5_l-d_kp_15_375,ACO,3,481.069368
0.5199868679046631,f5_l-d_kp_15_375,GA,4,466.338083
0.005989789962768555,f5_l-d_kp_15_375,ACO,4,481.069368
0.5340015888214111,f5_l-d_kp_15_375,GA,5,466.338083
0.0050029754638671875,f5_l-d_kp_15_375,ACO,5,481.069368
0.5379962921142578,f5_l-d_kp_15_375,GA,6,466.338083
0.005001068115234375,f5_l-d_kp_15_375,ACO,6,481.069368
0.5350198745727539,f5_l-d_kp_15_375,GA,7,466.338083
0.004976034164428711,f5_l-d_kp_15_375,ACO,7,481.069368
0.5320074558258057,f5_l-d_kp_15_375,GA,8,466.338083
0.011013507843017578,f5_l-d_kp_15_375,ACO,8,481.069368
0.5179882049560547,f5_l-d_kp_15_375,GA,9,466.338083
