execution_time,instance,method,run,value
35.457985639572144,knapPI_1_10000_1000_1,GA,1,83020.0
31.552991151809692,knapPI_1_10000_1000_1,GA,2,90800.0
34.13500690460205,knapPI_1_10000_1000_1,GA,3,90486.0
31.755993604660034,knapPI_1_10000_1000_1,GA,4,90309.0
39.04101037979126,knapPI_1_10000_1000_1,GA,5,87001.0
31.322991609573364,knapPI_1_10000_1000_1,GA,6,85396.0
31.288000106811523,knapPI_1_10000_1000_1,GA,7,95405.0
33.05999994277954,knapPI_1_10000_1000_1,GA,8,93011.0
30.34700870513916,knapPI_1_10000_1000_1,GA,9,92360.0
34.11298966407776,knapPI_1_10000_1000_1,GA,10,86848.0
22.402019500732422,knapPI_1_1000_1000_1,GA,1,34519.0
21.07599949836731,knapPI_1_1000_1000_1,GA,2,34779.0
21.85797882080078,knapPI_1_1000_1000_1,GA,3,35504.0
21.972001314163208,knapPI_1_1000_1000_1,GA,4,35660.0
22.110020875930786,knapPI_1_1000_1000_1,GA,5,35258.0
22.323996782302856,knapPI_1_1000_1000_1,GA,6,35272.0
23.321979761123657,knapPI_1_1000_1000_1,GA,7,36058.0
22.24300479888916,knapPI_1_1000_1000_1,GA,8,35553.0
22.828018188476562,knapPI_1_1000_1000_1,GA,9,36063.0
21.1589777469635,knapPI_1_1000_1000_1,GA,10,33904.0
11.117014646530151,knapPI_1_100_1000_1,GA,1,8940.0
11.294001340866089,knapPI_1_100_1000_1,GA,2,9147.0
11.369985580444336,knapPI_1_100_1000_1,GA,3,9147.0
11.203006744384766,knapPI_1_100_1000_1,GA,4,9147.0
10.770013332366943,knapPI_1_100_1000_1,GA,5,8940.0
11.199005365371704,knapPI_1_100_1000_1,GA,6,9147.0
11.059976577758789,knapPI_1_100_1000_1,GA,7,9147.0
11.115996837615967,knapPI_1_100_1000_1,GA,8,9147.0
11.037017345428467,knapPI_1_100_1000_1,GA,9,9147.0
11.640976905822754,knapPI_1_100_1000_1,GA,10,9147.0
25.776000261306763,knapPI_1_2000_1000_1,GA,1,49902.0
26.233999490737915,knapPI_1_2000_1000_1,GA,2,52896.0
25.52602458000183,knapPI_1_2000_1000_1,GA,3,49317.0
25.65097713470459,knapPI_1_2000_1000_1,GA,4,51191.0
24.316999435424805,knapPI_1_2000_1000_1,GA,5,47911.0
25.325000286102295,knapPI_1_2000_1000_1,GA,6,52059.0
24.772998571395874,knapPI_1_2000_1000_1,GA,7,51390.0
26.5939998626709,knapPI_1_2000_1000_1,GA,8,50822.0
27.184007167816162,knapPI_1_2000_1000_1,GA,9,52124.0
25.263994216918945,knapPI_1_2000_1000_1,GA,10,49945.0
11.260993957519531,knapPI_1_200_1000_1,GA,1,11125.0
11.14002275466919,knapPI_1_200_1000_1,GA,2,11031.0
11.051977634429932,knapPI_1_200_1000_1,GA,3,10969.0
10.474023580551147,knapPI_1_200_1000_1,GA,4,10987.0
11.525975704193115,knapPI_1_200_1000_1,GA,5,11223.0
11.935003280639648,knapPI_1_200_1000_1,GA,6,11238.0
10.727997779846191,knapPI_1_200_1000_1,GA,7,11238.0
11.62101936340332,knapPI_1_200_1000_1,GA,8,11045.0
