instance,method,value,execution_time,run
fifteen.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90218F48>, <deap.tools.support.Statistics object at 0x0000023F9148B1C8>)",0.20345687866210938,9
fifteen.json,ACO,"291	0,12,1,14,8,4,6,2,11,13,9,7,5,3,10",0.5395584106445312,9
fifteen.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90BD2848>, <deap.tools.support.Statistics object at 0x0000023F9095FC08>)",0.262298583984375,10
fifteen.json,ACO,"291	0,12,1,14,8,4,6,2,11,13,9,7,5,3,10",0.5355091094970703,10
fri26.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F907383C8>, <deap.tools.support.Statistics object at 0x0000023F901CBF48>)",0.21771740913391113,1
fri26.json,ACO,"937	0,1,2,3,5,4,6,7,8,9,13,14,12,11,10,15,18,19,17,16,20,21,25,22,23,24",2.054509162902832,1
fri26.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90402CC8>, <deap.tools.support.Statistics object at 0x0000023F917C5988>)",0.23092365264892578,2
fri26.json,ACO,"943	0,24,23,22,25,21,20,16,17,19,18,15,10,11,12,14,13,9,8,7,6,5,3,4,2,1",2.0437114238739014,2
fri26.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F914EFA88>, <deap.tools.support.Statistics object at 0x0000023F9173AE48>)",0.2387838363647461,3
fri26.json,ACO,"983	0,1,2,3,5,4,6,7,8,15,18,19,16,17,25,22,23,24,21,20,11,12,10,9,13,14",1.991346836090088,3
fri26.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90371D08>, <deap.tools.support.Statistics object at 0x0000023F9095F7C8>)",0.22110605239868164,4
fri26.json,ACO,"958	0,1,3,5,4,2,13,14,11,12,10,9,8,6,7,15,18,19,17,16,20,25,21,22,23,24",2.024768114089966,4
fri26.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90570B88>, <deap.tools.support.Statistics object at 0x0000023F902E1C08>)",0.23852777481079102,5
