instance,method,value,execution_time,run
att48.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F914B9B08>, <deap.tools.support.Statistics object at 0x0000023F917F8FC8>)",0.36602115631103516,1
att48.json,ACO,"37064	1,8,38,31,44,18,36,7,28,6,30,43,27,37,19,17,20,47,21,13,25,14,39,32,24,10,42,35,45,26,4,2,48,5,29,34,41,16,22,3,23,11,12,33,46,15,40,9",15.194132566452026,1
att48.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90A01C88>, <deap.tools.support.Statistics object at 0x0000023F917ED848>)",0.289243221282959,2
att48.json,ACO,"36732	1,8,9,38,31,44,18,36,28,7,37,19,27,43,17,6,30,15,12,11,23,39,32,48,5,42,24,10,45,35,4,26,2,29,41,16,22,3,34,14,25,13,21,47,20,33,46,40",13.961453676223755,2
att48.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F91851B48>, <deap.tools.support.Statistics object at 0x0000023F9185D6C8>)",0.3341820240020752,3
att48.json,ACO,"35463	1,8,22,16,41,34,3,23,11,13,14,25,29,2,26,4,35,45,24,10,42,5,48,39,32,21,47,20,12,40,15,46,33,36,7,28,37,19,27,17,43,30,6,18,44,31,38,9",14.366877555847168,3
att48.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90308D08>, <deap.tools.support.Statistics object at 0x0000023F90AF2C08>)",0.3219778537750244,4
att48.json,ACO,"35715	1,38,31,44,18,7,28,30,27,43,17,19,6,37,36,33,46,15,12,11,23,13,47,20,21,39,32,24,10,45,35,4,26,42,2,29,5,48,25,14,34,41,16,22,3,40,9,8",14.253231048583984,4
att48.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90A81788>, <deap.tools.support.Statistics object at 0x0000023F90A64BC8>)",0.3065066337585449,5
att48.json,ACO,"36439	1,8,38,31,44,18,36,7,28,37,6,30,43,27,19,17,46,33,11,23,14,25,13,3,22,16,41,34,48,5,29,2,42,10,26,4,35,45,24,32,39,21,47,20,12,15,40,9",14.382124900817871,5
att48.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F9183C1C8>, <deap.tools.support.Statistics object at 0x0000023F90A58108>)",0.2860686779022217,6
